objid,ra,dec,u,g,r,i,z,petroRad_r,petroR50_r,petroR90_r,deVAB_r,expAB_r,lnLDeV_r,lnLExp_r,lnLStar_r,fracDeV_r,redshift,zErr,velDisp,velDispErr,gz2_objid,gz2_ra,gz2_dec,total_votes_gz2,t01_smooth_or_features_a01_smooth_fraction,t01_smooth_or_features_a02_features_or_disk_fraction,t01_smooth_or_features_a03_star_or_artifact_fraction,t03_bar_a06_bar_fraction,t03_bar_a07_no_bar_fraction,t04_spiral_a08_spiral_fraction,t04_spiral_a09_no_spiral_fraction,morph_class
1237648720156950769,179.965885437338,-1.0425528668644,20.27436,18.14085,16.96156,16.48298,16.14674,4.53094,1.907437,5.9171,0.8880588,0.9041287,-18.71865,-889.3398,-8617.596,0.9437211,0.1671535,2.250465e-05,200.4204,8.999778,588848898838888713,179.96588134765625,-1.0425559282302856,161,0.8980000019073486,0.0410000011324882,0.0610000006854534,0.0,1.0,0.0,1.0,Elliptical
1237648720157081698,180.151337225782,-0.979024699232339,18.73031,16.92396,16.07619,15.69624,15.39467,4.216959,1.836011,5.854736,0.6527269,0.6367007,-260.5829,-5381.438,-20766.72,1.0,0.06035833,1.170306e-05,151.7773,4.574716,588848898839019528,180.15133666992188,-0.9790257811546326,127,0.8809999823570251,0.0480000004172325,0.0710000023245811,0.0,1.0,0.0,1.0,Elliptical
1237648720694018149,180.362532423057,-0.447288059050575,19.69131,17.71016,16.55649,16.09995,15.74558,7.056043,3.008603,8.550096,0.8209168,0.8713762,-86.4568,-1413.882,-12629.48,0.9239777,0.1685821,3.012838e-05,207.621,11.13355,588848899375956096,180.36253356933597,-0.4472880363464355,135,0.9089999794960022,0.0230000000447034,0.0680000036954879,1.0,0.0,1.0,0.0,Elliptical
1237648720694018167,180.393637887057,-0.494671298923283,19.59569,17.78645,16.82101,16.40717,16.04906,5.722434,2.411439,7.659513,0.8290499,0.8561415,-46.47424,-1338.005,-9181.213,1.0,0.1198591,2.061931e-05,137.4208,7.339064,588848899375956010,180.3936309814453,-0.4946718215942383,139,0.8500000238418579,0.125,0.025000000372529,0.0,1.0,0.0,1.0,Elliptical
1237648720694083665,180.443170347732,-0.487592216268361,20.24885,18.25982,17.02245,16.5202,16.18198,5.701744,2.310874,7.265449,0.7766176,0.7747079,-30.70403,-1272.462,-7700.671,1.0,0.1678391,3.316163e-05,258.9212,11.73982,588848899376021580,180.44317626953125,-0.4875923693180084,144,0.8220000267028809,0.0890000015497207,0.0890000015497207,0.0,1.0,0.0,1.0,Elliptical
1237648720694083696,180.496629144401,-0.427449686104098,19.65106,17.64081,16.57663,16.12663,15.75204,5.201443,2.217863,7.099286,0.9477513,0.8886507,-51.96209,-1720.587,-14179.66,0.967701,0.1202664,2.413624e-05,231.6754,10.22792,588848899376021614,180.4966278076172,-0.4274492561817169,117,0.949999988079071,0.0,0.050000000745058,0.0,0.0,0.0,0.0,Elliptical
1237648720694542537,181.622596856942,-0.557729288836764,19.0519,17.26076,16.39736,15.99386,15.67364,3.333068,1.577199,4.09676,0.4592156,0.4908936,-739.4317,-622.6876,-20362.32,0.590789,0.09527726,1.6912e-05,196.3977,8.401555,588848899376480335,181.6226043701172,-0.5577306747436523,138,0.9300000071525574,0.0230000000447034,0.0469999983906745,0.0,1.0,0.0,1.0,Elliptical
1237648721230823776,180.275790063606,-0.117109162313243,19.29219,17.9463,16.86847,16.42362,16.08841,4.478352,1.900799,6.117344,0.7065953,0.7201715,-90.34296,-1921.212,-9406.999,1.0,0.1651028,2.898745e-05,280.7012,12.31571,588848899912761447,180.2757873535156,-0.1171143278479576,142,0.977999985218048,0.0219999998807907,0.0,1.0,0.0,0.0,1.0,Elliptical
1237648721230889136,180.331286598997,-0.108861712157105,18.8545,17.58708,16.68156,16.27181,15.93472,8.535885,3.397187,8.080424,0.8625818,0.8331667,-420.3046,-901.0013,-9194.654,0.6564904,0.1620177,1.916787e-05,68.70117,9.304527,588848899912827080,180.33128356933597,-0.1088650077581405,316,0.1140000000596046,0.8640000224113464,0.0230000000447034,0.1620000004768371,0.8379999995231628,0.8650000095367432,0.135000005364418,Spiral
1237648721231085724,180.813988692598,-0.188706136434217,19.3444,17.5352,16.61515,16.23148,15.90975,5.531219,2.195029,6.701599,0.8200179,0.8457654,-172.8431,-2877.67,-12988.28,1.0,0.1108167,1.776544e-05,180.8478,7.234248,588848899913023696,180.81399536132807,-0.1887024641036987,139,0.8859999775886536,0.0680000036954879,0.0450000017881393,0.0,1.0,0.0,1.0,Elliptical
1237648720156491944,178.889991116588,-0.922495890325516,18.7058,17.45178,16.73883,16.32901,16.08191,4.723198,2.306405,4.954201,0.5715753,0.6111487,-1980.631,-162.0771,-18529.85,0.03862986,0.1211588,1.149512e-05,147.5555,14.37857,588848898838429861,178.88999938964844,-0.9225017428398132,145,0.800000011920929,0.0890000015497207,0.1110000014305114,0.0,1.0,0.5,0.5,Elliptical
1237648720693428393,179.025961751945,-0.515562654779728,19.68798,17.79238,16.80333,16.38377,16.00445,4.319364,1.805025,5.568945,0.7055843,0.7662921,-61.96802,-1848.984,-9571.128,1.0,0.1069132,2.642968e-05,191.688,11.21234,588848899375366322,179.0259552001953,-0.5155655145645142,136,0.9290000200271606,0.0480000004172325,0.0240000002086162,0.0,1.0,0.5,0.5,Elliptical
1237648720693756163,179.718015380018,-0.530204164688646,19.78697,17.76209,16.58889,16.07994,15.64151,6.00343,2.43101,7.975539,0.5226246,0.5602124,-288.8112,-3099.604,-12530.33,1.0,0.1250898,1.926676e-05,237.9528,7.868229,588848899375694050,179.718017578125,-0.5302121639251709,173,0.8159999847412109,0.1840000003576278,0.0,0.0,1.0,0.3330000042915344,0.6669999957084656,Elliptical
1237648720693821516,179.923439565495,-0.531649711836704,19.90973,17.73716,16.49334,15.98092,15.62816,7.740705,3.110738,10.20882,0.9456764,0.9086019,-123.7496,-3008.872,-14014.53,1.0,0.1782399,2.439585e-05,288.021,10.18066,588848899375759449,179.92344665527344,-0.5316566824913025,137,0.8410000205039978,0.0680000036954879,0.090999998152256,0.0,1.0,0.0,1.0,Elliptical
1237648720693821697,179.840390927549,-0.512238556910217,19.06605,17.17739,16.24429,15.8093,15.46751,5.723658,2.454051,7.743935,0.7652818,0.8141491,-145.8987,-3964.724,-18943.87,1.0,0.08147936,1.462162e-05,190.667,6.599537,588848899375759552,179.84039306640625,-0.5122455358505249,148,0.8289999961853027,0.0979999974370002,0.0729999989271164,0.0,1.0,0.0,1.0,Elliptical
1237648720693821710,179.85927482977,-0.43209395825067,19.20374,17.61608,16.89959,16.4966,16.21771,4.831088,2.176205,6.175359,0.619058,0.6278251,-98.67181,-965.742,-9447.363,0.8926439,0.08288149,1.425588e-05,94.68253,8.3919,588848899375759565,179.85928344726562,-0.4321016669273376,155,0.8500000238418579,0.1500000059604644,0.0,0.0,1.0,0.1669999957084655,0.8330000042915344,Elliptical
1237648720693887114,179.998441209699,-0.464161711738539,19.95892,17.96223,17.03649,16.61989,16.28059,4.579747,1.842111,5.627126,0.7091963,0.7389574,-65.41312,-1397.167,-7631.366,1.0,0.0803973,1.877595e-05,148.5316,7.688865,588848899375825027,179.9984588623047,-0.4641708135604858,158,0.8669999837875366,0.1330000013113021,0.0,0.0,1.0,0.1669999957084655,0.8330000042915344,Elliptical
1237648720693887193,180.056454505054,-0.421827907811314,19.76724,17.74265,16.78088,16.35669,16.01927,3.554487,1.527296,4.37009,0.7404022,0.7815266,-204.9214,-1757.069,-9870.219,1.0,0.07673916,1.625909e-05,168.3212,6.614804,588848899375825096,180.05645751953125,-0.421838104724884,153,0.9110000133514404,0.0439999997615814,0.0439999997615814,0.0,1.0,0.0,1.0,Elliptical
1237648720156295372,178.456887265556,-0.917471213929582,20.00043,17.94506,16.88783,16.41964,16.06069,9.902812,3.825727,12.52214,0.8499329,0.8437534,-308.1835,-2432.489,-8460.756,1.0,0.1322944,2.849745e-05,196.03,11.23533,588848898838233276,178.45687866210938,-0.91746723651886,207,0.843999981880188,0.0939999967813491,0.061999998986721,0.0,1.0,0.1669999957084655,0.8330000042915344,Elliptical
1237648720156426412,178.72493627837,-0.964365122625057,17.5959,16.28216,15.61181,15.25247,15.0168,12.14072,5.357722,13.87021,0.7058275,0.677323,-814.6015,-1978.996,-26062.55,0.5681911,0.06385551,1.626306e-05,86.88047,8.369081,588848898838364324,178.72494506835938,-0.9643610715866088,440,0.0350000001490116,0.9470000267028807,0.0179999992251396,0.0579999983310699,0.9419999718666076,1.0,0.0,Spiral
1237648720693100709,178.323779713469,-0.431687326232687,19.86248,17.98657,16.97325,16.55586,16.17814,3.443963,1.508591,4.654538,0.7881656,0.8175693,-36.4784,-1521.806,-8387.011,1.0,0.1303443,2.386597e-05,219.1167,9.772735,588848899375038653,178.3237762451172,-0.4316867589950561,158,0.8600000143051147,0.0599999986588954,0.0799999982118606,0.3330000042915344,0.6669999957084656,0.6669999957084656,0.3330000042915344,Elliptical
1237648720693231789,178.607790336411,-0.472048645585959,18.86171,17.1336,16.36422,16.00438,15.73102,5.154258,2.165758,6.911065,0.5397798,0.5322793,-63.3465,-2440.02,-17704.97,1.0,0.05142741,1.615066e-05,104.5864,6.036028,588848899375169693,178.6077880859375,-0.4720471501350403,149,0.8510000109672546,0.0850000008940696,0.0640000030398368,0.0,1.0,0.0,1.0,Elliptical
1237648720693297454,178.774256396749,-0.460328811594414,20.03736,18.00624,16.95009,16.52234,16.13736,2.873255,1.313234,3.909739,0.3829937,0.4200811,-39.01014,-1206.187,-7962.547,1.0,0.1281392,2.948162e-05,265.0314,11.2298,588848899375235319,178.77426147460938,-0.460330605506897,144,0.912999987602234,0.0649999976158142,0.0219999998807907,0.0,1.0,0.0,1.0,Elliptical
1237648720693362808,178.806888651347,-0.526100771679417,19.35856,17.40736,16.27258,15.83168,15.46183,9.183779,3.659596,10.41452,0.7624544,0.8125142,-84.56232,-1970.569,-16217.72,0.9835452,0.1321506,2.728394e-05,221.8154,11.49074,588848899375300736,178.806884765625,-0.5261030793190002,140,0.8500000238418579,0.125,0.025000000372529,0.0,1.0,0.2000000029802322,0.800000011920929,Elliptical
1237648720693362830,178.818070459061,-0.505664005724636,20.34624,18.16969,17.03712,16.56496,16.13541,4.817709,2.019303,6.999235,0.8226438,0.8055646,-266.716,-2042.525,-6769.387,1.0,0.1320309,3.138523e-05,276.3326,12.94581,588848899375300758,178.8180694580078,-0.5056659579277039,119,0.925000011920929,0.025000000372529,0.050000000745058,0.0,1.0,0.0,1.0,Elliptical
1237648721229906078,178.053663204824,-0.114117888016034,18.028,16.51442,15.80577,15.41082,15.13944,12.1554,4.626869,11.83739,0.8335163,0.7836824,-1125.359,-3261.4,-26382.32,0.7362225,0.07699241,1.255719e-05,110.6869,8.044723,588848899911844020,178.0536651611328,-0.1141217574477195,303,0.0949999988079071,0.8809999823570251,0.0240000002086162,0.1430000066757202,0.8569999933242798,0.8289999961853027,0.1710000038146972,Spiral
