objid,ra,dec,u,g,r,i,z,petroRad_r,petroR50_r,petroR90_r,deVAB_r,expAB_r,lnLDeV_r,lnLExp_r,lnLStar_r,fracDeV_r,redshift,zErr,velDisp,velDispErr,gz2_objid,gz2_ra,gz2_dec,total_votes_gz2,t01_smooth_or_features_a01_smooth_fraction,t01_smooth_or_features_a02_features_or_disk_fraction,t01_smooth_or_features_a03_star_or_artifact_fraction,t03_bar_a06_bar_fraction,t03_bar_a07_no_bar_fraction,t04_spiral_a08_spiral_fraction,t04_spiral_a09_no_spiral_fraction,morph_class
"1,23764870297249E+018",197.154923368926,-1.25276310176751,19.52571,17.74521,16.76546,16.32036,15.99769,5.207552,2.328935,6.129773,0.3420278,0.3751388,-220.1049,-466769,-10092.39,0.655746,0.1130972,2.619751e-05,145.9873,9.825756,"5,87724650875126E+017",197.1549224853516,-1.2527421712875366,141,0.8220000267028809,0.1110000014305114,0.06700000166893,0.0,1.0,0.5,0.5,Elliptical
"1,23764870297295E+018",198.13650369511,-1.24174368624734,19.71973,17.73679,16.75908,16.32437,15.96696,3.630058,1.590797,4.236339,0.4435586,0.4884402,-156.3912,-1077287,-10173.95,0.9157385,0.08473853,2.470372e-05,184.8131,9.481242,"5,87724650875585E+017",198.1364898681641,-1.2417114973068235,143,0.890999972820282,0.0430000014603138,0.0649999976158142,0.5,0.5,0.0,1.0,Elliptical
"1,2376487029738E+018",200.166656781765,-1.10172937835382,19.85966,17.89301,16.95394,16.55142,16.21367,3.651988,1.669565,4.760329,0.8334553,0.8208284,-3.624646,-844.6134,-6812113,1.0,0.1151336,2.357709e-05,173.0928,8.356174,"5,877229817489E+017",200.16665649414065,-1.101735234260559,158,0.8259999752044678,0.1089999973773956,0.0649999976158142,0.2000000029802322,0.800000011920929,0.0,1.0,Elliptical
"1,23764870297387E+018",200.291309368239,-1.20168220058621,18.53104,17.42519,16.85697,16.46986,16.29665,3.2538,1.599572,3.65535,0.596399,0.6360277,-1305944,-50.53501,-13242.67,0.07615834,0.08296697,6.753143e-06,129.1775,12.58361,"5,87722981748966E+017",200.2913055419922,-1.2016817331314087,133,0.9769999980926514,0.0230000000447034,0.0,0.0,1.0,0.0,1.0,Elliptical
"1,23764870297387E+018",200.334354172508,-1.13222584833184,19.34652,17.49284,16.6798,16.31855,16.01687,3.96052,1.725911,4.555668,0.4941231,0.5211725,-136321,-1247835,-10100.06,0.958541,0.04524084,1.599111e-05,105.5489,5.965956,"5,87722981748966E+017",200.3343505859375,-1.1322262287139893,163,0.8410000205039978,0.1360000073909759,0.0230000000447034,0.2000000029802322,0.800000011920929,0.0,1.0,Elliptical
"1,23764870297413E+018",200.906606171277,-1.21612110400786,19.11052,17.02411,16.02427,15.57432,15.20273,7.62357,3.145895,9.634673,0.7779294,0.7653716,-420.2521,-5265115,-22722.47,1.0,0.08266958,1.987835e-05,232.1696,8.182939,"5,87724650876764E+017",200.90660095214844,-1.2161413431167605,128,0.9020000100135804,0.0489999987185001,0.0489999987185001,0.0,1.0,0.0,1.0,Elliptical
"1,23764870297446E+018",201.609442347288,-1.14731398748739,18.63286,17.18885,16.44523,16.04037,15.77544,7.311406,3.221242,9.412943,0.7867775,0.8210098,-126.5937,-1308202,-14010.79,0.8257058,0.05511795,1.545807e-05,113.1218,10.10984,"5,87722981749555E+017",201.6094512939453,-1.147310733795166,133,0.8100000023841858,0.0949999988079071,0.0949999988079071,0.0,1.0,0.0,1.0,Elliptical
"1,2376487029858E+018",227.550387209403,-1.19089489524498,18.81131,16.78782,15.84893,15.42421,15.08336,6.572453,2.614547,9.285789,0.855137,0.8098661,-460.8457,-7229468,-29657.62,1.0,0.07015107,1.501597e-05,191.8223,6.499395,"5,87729778523767E+017",227.5503845214844,-1.1908870935440063,149,0.8809999823570251,0.0710000023245811,0.0480000004172325,0.0,1.0,0.0,1.0,Elliptical
"1,23764870298613E+018",228.260251963443,-1.14357668323213,20.11892,17.85717,16.75602,16.29317,15.90619,4.791248,2.004294,6.282795,0.8800397,0.9175915,-4.258795,-1769.66,-11796.01,1.0,0.119464,2.697909e-05,236.8454,10.13145,"5,87729778524029E+017",228.26025390625,-1.1435892581939695,142,0.8640000224113464,0.0680000036954879,0.0680000036954879,0.0,1.0,0.0,1.0,Elliptical
"1,23764870298619E+018",228.515581208081,-1.21193186567946,19.31755,17.64284,16.75572,16.2849,15.91012,4.4629,2.058875,5.244336,0.3665357,0.4064738,-1254442,-303.7823,-18899.77,0.2992646,0.05091307,1.140905e-05,105.3946,6.980114,"5,87729971791856E+017",228.5155792236328,-1.2119518518447876,143,0.8140000104904175,0.163000002503395,0.0230000000447034,0.0,1.0,0.0,1.0,Elliptical
